R;Rm;Nome;Squadra;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
P;Por;Berisha;Empoli;6,11;4,54;0;25;1;0;0;0;0;0;0;0
P;Por;Perilli;Verona;7,5;5,5;0;2;0;0;0;0;0;0;0;0
P;Por;Di Gennaro;Inter;6,5;6,5;0;0;0;0;0;0;0;0;0;0
P;Por;Pinsoglio;Juventus;6,5;6,5;0;0;0;0;0;0;0;0;0;0
P;Por;Rossi F.;Atalanta;6,5;6,5;0;0;0;0;0;0;0;0;0;0
P;Por;Leali;Genoa;6,5;5,25;0;2;0;0;0;0;0;1;0;0
P;Por;Gollini;Napoli;6;4,86;0;8;0;0;0;0;0;0;0;0
P;Por;Aresti;Cagliari;6;5;0;1;0;0;0;0;0;0;0;0
P;Por;Fiorillo;Salernitana;6;3,88;0;8;0;0;0;0;0;1;0;0
P;Por;Cragno;Sassuolo;6;3,67;0;7;0;0;0;0;0;0;0;0
P;Por;Silvestri;Udinese;5,82;4,18;0;28;0;0;0;0;0;0;0;0
P;Por;Sorrentino A.;Monza;6;3,71;0;16;0;0;0;0;0;0;0;0
P;Por;Radunovic;Cagliari;5,71;4;0;12;0;0;0;0;0;0;0;0
P;Por;Mirante;Milan;6,25;4,75;0;3;0;0;0;0;0;0;0;0
P;Por;Sepe;Lazio;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Lamanna;Monza;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Sommariva;Genoa;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Pegolo;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Padelli;Udinese;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Perisan;Empoli;5;3;0;2;0;0;0;0;0;0;0;0
P;Por;Costil;Salernitana;6,19;3,96;0;29;0;0;0;0;0;0;0;0
P;Por;Frattali;Frosinone;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Contini;Napoli;6;6;0;0;0;0;0;0;0;0;0;0
P;Por;Brancolini;Lecce;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Bleve;Lecce;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Berardi A.;Verona;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Gemello;Torino;5;2,5;0;5;0;0;0;0;0;0;0;0
P;Por;Boer;Roma;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Adamonis;Lazio;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Piana;Udinese;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Bagnolini;Bologna;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Luis Maximiano;Lazio;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Martinelli T.;Fiorentina;6,5;4,5;0;2;0;0;0;0;0;0;0;0
P;Por;Popa;Torino;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Stubljar;Empoli;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Stankovic F.;Inter;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Gori;Monza;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Christensen O.;Fiorentina;5,5;3,25;0;9;0;0;0;0;0;0;0;0
P;Por;Borbei;Lecce;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Palmisani;Frosinone;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Nava;Milan;5,5;4,5;0;1;0;0;0;0;0;0;0;0
P;Por;Gasperini T.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Samooja;Lecce;0;0;0;0;0;0;0;0;0;0;0;0
P;Por;Stolz;Genoa;0;0;0;0;0;0;0;0;0;0;0;0
D;E;Dimarco;Inter;6,48;7,18;5;0;0;0;0;0;6;0;0;0
D;"Dd;Ds;E";Zortea;Frosinone;6,16;6,63;2;0;0;0;0;0;5;4;0;0
D;E;Dumfries;Inter;6,1;6,53;4;0;0;0;0;0;3;2;1;0
D;Dc;Buongiorno;Torino;6,31;6,5;3;0;0;0;0;0;0;7;0;0
D;"Ds;E";Hernandez T.;Milan;6,17;6,45;5;0;0;2;1;1;3;10;1;0
D;Dc;Acerbi;Inter;6,17;6,5;3;0;0;0;0;0;1;1;0;0
D;Dc;Bastoni;Inter;6,32;6,45;1;0;0;0;0;0;3;5;0;0
D;Dc;Bremer;Juventus;6,24;6,36;3;0;0;0;0;0;0;9;0;0
D;"Dd;E";Bellanova;Torino;6,14;6,35;1;0;0;0;0;0;7;5;0;0
D;E;Carlos Augusto;Inter;6,14;6,21;0;0;0;0;0;0;3;1;0;0
D;"Dd;Dc";Darmian;Inter;6,14;6,33;2;0;0;0;0;0;1;2;0;0
D;"Ds;E";Calafiori;Bologna;6,35;6,57;2;0;0;0;0;0;4;4;0;1
D;Dc;Martinez Quarta;Fiorentina;6,04;6,41;5;0;0;0;0;0;0;9;0;0
D;"Dd;Dc";Dragusin;Genoa;6,11;6,45;2;0;0;0;0;0;1;1;0;0
D;"Ds;Dc";Vasquez;Genoa;6,16;6,19;1;0;0;0;0;0;1;6;0;0
D;Dc;Bisseck;Inter;6,36;7;2;0;0;0;0;0;1;0;0;0
D;"Ds;Dc";Rodriguez R.;Torino;6,11;6,17;1;0;0;0;0;0;1;4;0;0
D;"Dd;E";Di Lorenzo;Napoli;6,07;6,21;1;0;0;0;0;0;5;6;0;0
D;Dc;Tomori;Milan;6;6,32;4;0;0;0;0;0;0;6;1;0
D;Dc;Scalvini;Atalanta;6,06;6,2;1;0;0;0;0;0;3;3;0;0
D;Dc;Luperto;Empoli;6;6,05;1;0;0;0;0;0;1;4;0;0
D;Dc;Mancini;Roma;5,99;6,2;4;0;0;0;0;0;0;9;0;0
D;Dc;Mina;Cagliari;6,03;6,27;2;0;0;1;1;0;0;5;0;0
D;E;Maehle;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0
D;"Dd;E";Gendrey;Lecce;5,92;6,09;2;0;0;0;0;0;3;5;0;0
D;"Dd;Dc";Posch;Bologna;6,1;6,15;1;0;0;0;0;0;2;7;0;0
D;Dc;De Vrij;Inter;6,27;6,41;1;0;0;0;0;0;0;0;0;0
D;E;Zappacosta;Atalanta;5,92;6,06;2;0;0;0;0;0;1;5;0;0
D;E;Spinazzola;Roma;6,09;6,3;1;0;0;0;0;0;2;0;0;0
D;"Dd;Dc";Pavard;Inter;6,29;6,24;0;0;0;0;0;0;2;6;0;0
D;"Dd;Ds;Dc";Danilo;Juventus;6,09;6,11;1;0;0;0;0;0;1;7;0;0
D;"Ds;E";Gallo;Lecce;5,94;6;0;0;0;0;0;0;3;2;0;0
D;"Ds;E";Ruggeri;Atalanta;5,97;6,08;0;0;0;0;0;0;5;3;0;0
D;"Dd;Ds;E";Cambiaso;Juventus;6;6,12;2;0;0;0;0;0;3;10;0;0
D;"Ds;E";Kamara H.;Udinese;6,06;6,1;1;0;0;0;0;0;0;4;0;0
D;Dc;Gatti;Juventus;5,97;6,11;4;0;0;0;0;0;0;7;0;2
D;Dc;Lucumi';Bologna;6,1;6,07;0;0;0;0;0;0;0;2;0;0
D;"Dd;Ds;E";Kayode;Fiorentina;6,06;6,17;1;0;0;0;0;0;1;2;0;0
D;"Ds;E";Biraghi;Fiorentina;5,96;6,11;2;0;0;1;0;1;5;8;0;0
D;"Dd;Dc";Patric;Lazio;6,08;6,29;2;0;0;0;0;0;0;4;0;0
D;"Dd;E";Calabria;Milan;5,95;6,03;1;0;0;0;0;0;3;3;2;0
D;"Dd;Ds;E";Florenzi;Milan;6;6,19;1;0;0;0;0;0;4;5;0;0
D;"Dd;E";Lirola;Frosinone;5,75;6,02;2;0;0;0;0;0;1;1;0;0
D;E;Gosens;Inter;0;0;0;0;0;0;0;0;0;0;0;0
D;"Ds;Dc";Kolasinac;Atalanta;6,03;6,07;1;0;0;0;0;0;0;4;0;0
D;Dc;Rrahmani;Napoli;5,93;6,15;3;0;0;0;0;0;0;5;0;0
D;"Ds;E";Angelino;Roma;5,94;5,88;0;0;0;0;0;0;2;2;0;1
D;"Ds;E";Kristiansen;Bologna;5,97;6;0;0;0;0;0;0;3;4;0;0
D;Dc;Rugani;Juventus;6,11;6,46;2;0;0;0;0;0;0;2;0;0
D;"Dd;E";De Silvestri;Bologna;6,17;6,67;2;0;0;0;0;0;0;0;0;0
D;Dc;Djimsiti;Atalanta;5,94;5,92;0;0;0;0;0;0;1;4;0;0
D;Dc;Bani;Genoa;6,02;6,07;2;0;0;0;0;0;0;9;0;0
D;Dc;Demiral;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0
D;E;Lazaro;Torino;6,02;6,07;0;0;0;0;0;0;3;3;0;0
D;Dc;Gabbia;Milan;6,06;6,26;2;0;0;0;0;0;0;5;0;0
D;"Dd;E";Toljan;Sassuolo;5,92;6,06;0;0;0;0;0;0;4;1;0;0
D;"Dd;E";Zappa;Cagliari;5,8;5,91;1;0;0;0;0;0;2;2;0;0
D;E;Singo;Torino;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Mari';Monza;5,98;5,88;0;0;0;0;0;0;0;7;0;0
D;"Dd;Ds;E";Birindelli;Monza;6;5,89;0;0;0;0;0;0;0;7;0;0
D;Dc;Bijol;Udinese;6,08;6;0;0;0;0;0;0;0;4;0;0
D;"Dd;E";Sambia;Salernitana;5,91;6,09;1;0;0;0;0;0;2;4;0;0
D;Dc;Beukema;Bologna;6,02;6,02;1;0;0;0;0;0;0;4;1;0
D;Dc;Dossena;Cagliari;5,84;5,94;2;0;0;0;0;0;4;5;0;2
D;Dc;Romagnoli S.;Frosinone;5,83;5,83;1;0;0;0;0;0;0;6;0;0
D;"Dd;Ds;E";Sabelli;Genoa;5,92;5,87;0;0;0;0;0;0;1;5;0;0
D;"Ds;E";Lykogiannis;Bologna;5,97;6,36;2;0;0;0;0;0;2;2;0;0
D;Dc;Magnani;Verona;6;5,9;0;0;0;0;0;0;0;6;0;0
D;Dc;Smalling;Roma;5,83;5,83;0;0;0;0;0;0;0;0;0;0
D;Dc;Ibanez;Roma;0;0;0;0;0;0;0;0;0;0;0;0
D;"Ds;E";Augello;Cagliari;5,77;5,81;1;0;0;0;0;0;1;5;0;0
D;Dc;Monterisi;Frosinone;5,83;6,25;2;0;0;0;0;0;2;1;0;0
D;Dc;Llorente D.;Roma;5,91;5,97;1;0;0;0;0;0;1;5;0;0
D;Dc;Pongracic;Lecce;5,94;5,81;0;0;0;0;0;0;0;8;1;0
D;Dc;Perez N.;Udinese;5,94;5,82;0;0;0;0;0;0;0;7;1;0
D;E;Holm;Atalanta;5,94;6,08;1;0;0;0;0;0;1;5;0;0
D;"Dd;E";Spence;Genoa;6;5,97;0;0;0;0;0;0;0;1;0;0
D;Dc;Schuurs;Torino;6,11;6,33;1;0;0;0;0;0;0;2;0;0
D;"Dd;E";Ehizibue;Udinese;5,88;5,82;0;0;0;0;0;0;1;4;0;0
D;"Ds;E";Dorgu;Lecce;5,9;6;2;0;0;0;0;0;0;6;0;0
D;Dc;Manolas;Salernitana;5,81;5,81;0;0;0;0;0;0;0;0;0;0
D;Dc;Romagnoli;Lazio;5,96;5,8;0;0;0;0;0;0;0;9;0;0
D;"Dd;E";Bereszynski;Empoli;5,85;5,83;0;0;0;0;0;0;1;3;0;0
D;"Dd;Ds;E";Marusic;Lazio;5,72;5,73;1;0;0;0;0;0;0;3;1;0
D;"Dd;E";Lazzari;Lazio;5,94;5,9;0;0;0;0;0;0;2;4;1;0
D;"Ds;E";Rogerio;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0
D;"Ds;E";Martin;Genoa;5,92;5,92;0;0;0;0;0;0;2;2;1;0
D;Dc;N'Dicka;Roma;5,86;5,86;0;0;0;0;0;0;3;6;0;0
D;"Ds;Dc";Ranieri L.;Fiorentina;5,86;5,88;2;0;0;0;0;0;1;14;0;0
D;"Ds;E";Kyriakopoulos;Monza;5,87;5,93;0;0;0;0;0;0;3;3;0;0
D;Dc;Erlic;Sassuolo;5,77;5,78;1;0;0;0;0;0;0;5;0;0
D;E;Vojvoda;Torino;5,88;5,95;0;0;0;0;0;0;3;3;0;0
D;E;Bakker;Atalanta;5,72;6;1;0;0;0;0;0;0;1;0;0
D;"Dd;Ds;E";Mazzocchi;Napoli;5,68;5,64;0;0;0;0;0;0;2;4;1;0
D;"Dd;E";Zanoli;Salernitana;5,83;5,75;0;0;0;0;0;0;2;4;0;1
D;Dc;Ostigard;Napoli;5,9;6;1;0;0;0;0;0;0;2;0;0
D;Dc;Coppola D.;Verona;5,85;5,92;2;0;0;0;0;0;0;9;0;0
D;Dc;Gila;Lazio;6,02;5,93;0;0;0;0;0;0;0;2;1;0
D;"Ds;E";Doig;Sassuolo;5,82;5,77;0;0;0;0;0;0;2;7;0;0
D;"Ds;E";Valeri;Frosinone;5,6;5,57;0;0;0;0;0;0;1;3;0;0
D;Dc;Hien;Atalanta;5,95;5,82;0;0;0;0;0;0;0;4;1;0
D;"Dd;Dc";Vogliacco;Genoa;6,03;5,97;0;0;0;0;0;0;1;4;0;0
D;"Dd;Ds;E";Pierozzi;Salernitana;6;6;1;0;0;0;0;0;0;6;0;0
D;Dc;Kristensen T.;Udinese;5,79;5,75;0;0;0;0;0;0;1;2;1;0
D;"Ds;Dc";Masina;Torino;5,87;5,8;0;0;0;0;0;0;0;2;0;0
D;E;Cuadrado;Inter;6,05;6,2;0;0;0;0;0;0;2;1;0;0
D;Dc;Ferrari G.;Sassuolo;5,56;5,59;1;0;0;0;0;0;0;4;0;0
D;"Dd;E";Karsdorp;Roma;6,03;6,08;0;0;0;0;0;0;2;2;0;0
D;Dc;Boateng J.;Salernitana;5,83;5,83;0;0;0;0;0;0;0;0;0;0
D;Dc;Walukiewicz;Empoli;5,76;5,65;0;0;0;0;0;0;0;6;0;0
D;"Ds;Dc";Carboni A.;Monza;5,88;6;1;0;0;0;0;0;0;1;0;0
D;"Ds;Dc";Caldirola;Monza;5,79;5,78;1;0;0;0;0;0;0;5;1;0
D;Dc;Ismajli;Empoli;5,72;5,68;0;0;0;0;0;0;0;2;0;0
D;"Ds;E";Bastoni S.;Empoli;5,88;6;1;0;0;0;0;0;0;3;0;0
D;"Ds;E";Bradaric;Salernitana;5,72;5,74;0;0;0;0;0;0;3;5;0;0
D;"Ds;E";Haps;Genoa;5,93;6;0;0;0;0;0;0;1;0;0;0
D;Dc;Viti;Sassuolo;5,89;5,96;1;0;0;0;0;0;0;0;0;1
D;"Dd;Dc";De Winter;Genoa;5,84;5,74;0;0;0;0;0;0;1;6;1;0
D;"Ds;E";Cacace;Empoli;5,73;5,66;0;0;0;0;0;0;1;6;0;0
D;"Dd;Dc";Baschirotto;Lecce;5,76;5,72;0;0;0;0;0;0;1;3;1;0
D;"Ds;E";Olivera;Napoli;5,82;5,89;1;0;0;0;0;0;0;3;0;0
D;"Ds;Dc";Cabal;Verona;5,82;5,66;0;0;0;0;0;0;0;6;0;0
D;"Ds;E";Zemura;Udinese;5,86;5,98;1;0;0;0;0;0;0;1;0;0
D;Dc;Huijsen;Roma;5,86;6,05;2;0;0;0;0;0;0;4;0;1
D;"Dd;Ds;E";Hysaj;Lazio;5,7;5,65;0;0;0;0;0;0;0;2;0;0
D;Dc;Izzo;Monza;5,82;5,62;0;0;0;0;0;0;0;9;0;0
D;"Dd;Ds;Dc";D'Ambrosio;Monza;5,79;5,69;0;0;0;0;0;0;0;3;1;0
D;"Ds;Dc";Juan Jesus;Napoli;5,69;5,67;1;0;0;0;0;0;0;7;0;0
D;Dc;Bonucci;Juventus;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Goldaniga;Cagliari;5,65;5,54;0;0;0;0;0;0;0;3;0;0
D;"Ds;Dc";Alex Sandro;Juventus;6;6,25;1;0;0;0;0;0;0;1;0;0
D;Dc;Toloi;Atalanta;5,89;5,68;0;0;0;0;0;0;0;4;1;0
D;"Dd;E";Pereira P.;Monza;5,76;5,74;0;0;0;0;0;0;1;3;0;0
D;"Dd;Dc";Ceccherini;Verona;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Fazio;Salernitana;5,71;5,85;1;0;0;0;0;0;1;3;0;0
D;"Dd;Dc";Biraschi;Genoa;6;9;1;0;0;0;0;0;0;0;0;0
D;E;Hateboer;Atalanta;5,83;5,78;0;0;0;0;0;0;1;5;0;0
D;Dc;Milenkovic;Fiorentina;5,67;5,6;0;0;0;0;0;0;0;4;0;0
D;"Ds;Dc";Marchizza;Frosinone;6;6,19;0;0;0;0;0;0;3;1;0;0
D;Dc;Kjaer;Milan;5,83;5,87;0;0;0;0;0;0;1;1;0;0
D;"Ds;E";Pellegrini Lu.;Lazio;5,79;5,76;1;0;0;0;0;0;0;5;1;0
D;Dc;Okoli;Frosinone;5,72;5,62;0;0;0;0;0;0;1;9;0;0
D;Dc;Dawidowicz;Verona;5,77;5,6;0;0;0;0;0;0;0;5;0;1
D;"Dd;E";Celik;Roma;5,92;5,88;0;0;0;0;0;0;0;1;0;0
D;"Ds;E";Vinagre;Verona;5,79;5,79;0;0;0;0;0;0;0;0;0;0
D;Dc;Pirola;Salernitana;5,5;5,54;1;0;0;0;0;0;0;4;0;0
D;"Ds;E";Parisi;Fiorentina;5,69;5,64;0;0;0;0;0;0;1;4;0;0
D;"Ds;E";Vina;Sassuolo;5,7;5,6;0;0;0;0;0;0;3;1;0;2
D;"Dd;E";Terracciano F.;Milan;5,89;5,89;0;0;0;0;0;0;1;2;0;0
D;"Dd;E";Ebosele;Udinese;5,83;5,73;0;0;0;0;0;0;0;4;1;0
D;"Ds;E";Azzi;Cagliari;5,84;5,82;0;0;0;0;0;0;0;1;0;0
D;"Dd;E";Ferreira J.;Udinese;5,67;5,55;0;0;0;0;0;0;1;9;0;0
D;"Dd;E";Centonze;Verona;5,67;5,67;0;0;0;0;0;0;1;2;0;0
D;"Ds;E";Mario Rui;Napoli;5,82;5,74;0;0;0;0;0;0;2;5;1;0
D;"Ds;E";Pezzella Giu.;Empoli;5,63;5,5;0;0;0;0;0;0;0;4;0;0
D;Dc;Bonifazi;Frosinone;5,75;5,75;0;0;0;0;0;0;0;0;0;0
D;Dc;Djidji;Torino;5,96;5,88;0;0;0;0;0;0;0;2;0;0
D;"Dd;Dc";Kalulu;Milan;5,86;5,86;0;0;0;0;0;0;0;0;0;0
D;Dc;Altare;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0
D;"Dd;E";Stojanovic;Empoli;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Casale;Lazio;5,68;5,55;0;0;0;0;0;0;0;5;0;0
D;Dc;Thiaw;Milan;5,68;5,4;0;0;0;0;0;0;0;5;1;1
D;"Dd;E";Missori;Sassuolo;5,75;5,75;0;0;0;0;0;0;0;0;0;0
D;"Dd;E";Kristensen;Roma;5,67;5,69;1;0;0;0;0;0;2;5;0;1
D;"Dd;E";Pedersen;Sassuolo;5,72;5,72;0;0;0;0;0;0;2;4;0;0
D;Dc;Gyomber;Salernitana;5,36;5,07;0;0;0;0;0;0;0;9;0;1
D;"Dd;Ds;E";Venuti;Lecce;5,5;5,42;0;0;0;0;0;0;0;1;0;0
D;Dc;Kabasele;Udinese;5,75;5,8;1;0;0;0;0;0;0;5;0;0
D;Dc;Lovato;Torino;5,53;5,45;0;0;0;0;0;0;0;3;0;0
D;"Ds;E";Ballo-Toure';Milan;0;0;0;0;0;0;0;0;0;0;0;0
D;"Ds;Dc";Amione;Verona;5,69;5,56;0;0;0;0;0;0;0;2;0;0
D;"Dd;E";Di Pardo;Cagliari;5,67;5,67;0;0;0;0;0;0;0;0;0;0
D;"Dd;E";Ebuehi;Empoli;5,8;5,87;0;0;0;0;0;0;1;0;0;0
D;"Dd;Ds;Dc";Djalo';Juventus;6;6;0;0;0;0;0;0;0;0;0;0
D;"Dd;Dc";Daniliuc;Salernitana;5,45;5,36;0;0;0;0;0;0;0;2;0;0
D;E;Soppy;Torino;5,83;5,83;0;0;0;0;0;0;0;0;0;0
D;Dc;Zima;Torino;6;6;0;0;0;0;0;0;0;0;0;0
D;Dc;Obert;Cagliari;5,35;5,31;0;0;0;0;0;0;0;1;0;0
D;Dc;Tressoldi;Sassuolo;5,28;5,13;0;0;0;0;0;0;0;5;1;0
D;"Dd;E";Hefti;Genoa;5,7;5,7;0;0;0;0;0;0;0;0;0;0
D;Dc;Cittadini;Genoa;6;5,83;0;0;0;0;0;0;0;1;0;0
D;"Dd;E";Dodo';Fiorentina;5,75;5,75;0;0;0;0;0;0;0;0;0;0
D;Dc;Guessand A.;Udinese;5,5;5,5;0;0;0;0;0;0;0;0;0;0
D;"Dd;Ds;Dc";Oyono;Frosinone;5,82;5,75;0;0;0;0;0;0;1;4;0;0
D;Dc;Matturro;Genoa;5,5;4,83;0;0;0;0;0;0;0;0;0;1
D;Dc;Gonzalez F.;Juventus;0;0;0;0;0;0;0;0;0;0;0;0
D;"Dd;Dc";Hatzidiakos;Cagliari;5,5;5,46;0;0;0;0;0;0;0;1;0;0
D;Dc;Bonfanti;Atalanta;5,75;5,75;0;0;0;0;0;0;0;0;0;0
D;Dc;Pellegrino;Salernitana;5,35;5,3;0;0;0;0;0;0;0;1;0;0
D;Dc;Wieteska;Cagliari;5,57;5,5;0;0;0;0;0;0;1;2;1;0
D;"Ds;Dc";Touba;Lecce;5,42;5,33;0;0;0;0;0;0;0;1;0;0
D;"Ds;E";Bartesaghi;Milan;6;6;0;0;0;0;0;0;0;0;0;0
D;Dc;Giannetti L.;Udinese;5,79;5,64;1;0;0;0;0;0;0;4;0;1
D;Dc;Pasalidis;Salernitana;5,5;5,36;0;0;0;0;0;0;0;3;0;0
D;Dc;Dermaku;Lecce;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Tonelli;Empoli;0;0;0;0;0;0;0;0;0;0;0;0
D;"Dd;Ds;E";De Sciglio;Juventus;6;6;0;0;0;0;0;0;0;0;0;0
D;Dc;Capradossi;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0
D;"Dd;E";Faraoni;Fiorentina;5,72;5,62;0;0;0;0;0;0;1;5;0;0
D;"Ds;E";Pajac;Genoa;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Palomino;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0
D;"Dd;Dc";Donati;Monza;5;4,5;0;0;0;0;0;0;0;1;0;0
D;Dc;Bettella;Monza;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Gunter;Verona;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Kumbulla;Sassuolo;5,4;4,9;0;0;0;0;0;0;0;1;0;1
D;Dc;Soumaoro;Bologna;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Antov;Monza;0;0;0;0;0;0;0;0;0;0;0;0
D;"Dd;Dc";Amey;Bologna;0;0;0;0;0;0;0;0;0;0;0;0
D;"Ds;Dc";Ebosse;Udinese;0;0;0;0;0;0;0;0;0;0;0;0
D;"Dd;Dc";Abankwah;Udinese;0;0;0;0;0;0;0;0;0;0;0;0
D;"Dd;Dc";Bronn;Salernitana;5,75;5,75;0;0;0;0;0;0;0;0;0;0
D;Dc;Sosa;Bologna;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Guarino;Empoli;0;0;0;0;0;0;0;0;0;0;0;0
D;"Ds;E";Carboni F.;Monza;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Flamingo;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Smajlovic;Lecce;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Szyminski;Frosinone;0;0;0;0;0;0;0;0;0;0;0;0
D;"Ds;E";Klitten;Frosinone;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;N'Guessan;Torino;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Natan;Napoli;5,81;5,69;0;0;0;0;0;0;0;1;1;0
D;"Dd;Ds;E";Corazza;Bologna;5,9;5,8;0;0;0;0;0;0;0;1;0;0
D;Dc;Mateus Lusuardi;Frosinone;5,17;5;0;0;0;0;0;0;0;1;0;0
D;Dc;Kalaj;Frosinone;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Sazonov;Torino;5,75;5,69;0;0;0;0;0;0;0;2;0;0
D;Dc;Comuzzo;Fiorentina;6;5,75;0;0;0;0;0;0;0;1;0;0
D;Dc;Simic J.;Milan;6,17;7,17;1;0;0;0;0;0;0;0;0;0
D;"Dd;Ds;E";Jimenez A.;Milan;5;4,5;0;0;0;0;0;0;0;1;0;0
D;"Dd;Dc";Goglichidze;Empoli;0;0;0;0;0;0;0;0;0;0;0;0
D;Dc;Ilic M.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0
C;"M;C";Calhanoglu;Inter;6,47;7,7;13;0;0;10;10;0;3;5;0;0
C;"T;A";Gudmundsson A.;Genoa;6,47;7,64;14;0;0;5;4;1;4;4;0;0
C;"T;A";Pulisic;Milan;6,33;7,5;12;0;0;0;0;0;7;2;0;0
C;"C;T";Koopmeiners;Atalanta;6,4;7,53;12;0;0;2;2;0;5;5;0;0
C;T;De Ketelaere;Atalanta;6,32;7,39;10;0;0;1;1;0;8;1;0;1
